thickness,subunit_segments,tilt,pdb_code,membrane_topology_in,membrane_topology_out,group
19.4,132.0,0.0,6VFE,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
20.2,96.0,6.0,8ET2,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.0,54.0,0.0,8GTN,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.8,36.0,0.0,2WCD,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.4,25.0,0.0,6GRJ,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,8.0,0.0,7N9L,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,12.0,0.0,7ADI,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,123.0,1.0,7NP7,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,50.0,1.0,6SGW,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,50.0,1.0,6UMM,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
8.9,0.0,90.0,1CQE,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
8.9,0.0,90.0,1EQG,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
31.2,7.0,12.0,1F88,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,7.0,12.0,1L9H,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,7.0,11.0,1GZM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,7.0,11.0,3C9L,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.8,52.0,0.0,6GY6,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
8.9,0.0,90.0,1EBV,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
30.2,28.0,0.0,7LQY,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,9.0,14.0,6LEO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,12.0,1.0,7P54,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,28.0,0.0,8GF8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,80.0,0.0,7W4O,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,24.0,0.0,5AN8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,76.0,0.0,6BAA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,17.0,4.0,6PZ9,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,29.0,5.0,7TYS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,24.0,0.0,6BWM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,76.0,0.0,5WUA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,76.0,0.0,5YW8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,2.0,7N0K,cytoplasmic side,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,12.0,0.0,7N7P,cytoplasmic side,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,24.0,0.0,6OO3,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,12.0,0.0,7F3T,cytoplasmic side,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,12.0,0.0,7F6V,cytoplasmic side,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,14.0,0.0,7FH1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,4.0,16.0,6WVD,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,13.0,7.0,7T6D,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,7.0,8.0,8CTJ,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,76.0,0.0,6JB1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,76.0,0.0,6C3O,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,24.0,0.0,5HI9,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,24.0,0.0,6BO4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,24.0,0.0,6U84,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,28.0,0.0,6WKN,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,7.0,12.0,1U19,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.6,22.0,4.0,5FP1,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.2,16.0,3.0,6ZY2,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,16.0,0.0,7CGE,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,16.0,0.0,7D06,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,14.0,2.0,8FEF,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.1,8.0,0.0,2J58,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,48.0,0.0,5NUO,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,6.0,20.0,6PJ4,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.2,6.0,13.0,2NR9,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.2,6.0,13.0,3ODJ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
36.4,12.0,0.0,7S5T,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,12.0,9.0,7VLU,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.9,6.0,23.0,3B4R,cytoplasmic side ,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,29.0,3.0,7MIT,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,12.0,10.0,7VLR,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.5,8.0,0.0,2AHY,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.7,15.0,0.0,1KQF,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,2.0,15.0,2MMU,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,3.0,16.0,8HHG,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,35.0,0.0,7NB6,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,30.0,0.0,7OT9,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,4.0,4.0,6WVG,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.2,4.0,1.0,5TCX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,5.0,17.0,7JIC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,4.0,9.0,6K4J,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,8.0,9.0,6VJA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.5,8.0,0.0,2Q67,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.6,8.0,0.0,3E86,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,6.0,40.0,3S0X,cytoplasmic side ,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.6,8.0,0.0,3K0D,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,24.0,0.0,7UGG,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,28.0,0.0,8SLX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,28.0,0.0,7ZJD,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.6,28.0,0.0,7XEM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,24.0,0.0,6DVW,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,24.0,0.0,6PVL,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,1.0,15.0,2CPB,intravirion side,virion surface,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,7.0,5.0,7V6A,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.1,12.0,10.0,1PJF,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,1.0,34.0,2KSJ,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
36.8,15.0,0.0,1MZT,inner side,outer side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,1.0,15.0,1FDM,intravirion side,virion surface,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.9,2.0,5.0,1AFO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.9,2.0,5.0,2KPF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,18.0,0.0,1NEK,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,2.0,2.0,5EH4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,24.0,0.0,6LGP,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,24.0,0.0,7MIJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.8,24.0,0.0,7RAS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.6,8.0,0.0,3T1C,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,12.0,0.0,6V8Y,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,8.0,0.0,3VOU,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,7.0,11.0,3C9M,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.6,24.0,0.0,3RVY,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,24.0,0.0,4EKW,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,24.0,0.0,5VB2,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.6,24.0,0.0,6C1E,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,3.0,8.0,6HJR,intravirion side,virion surface,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.9,7.0,5.0,2I37,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,1.0,41.0,5KTF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,2.0,7.0,2MIC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.6,3.0,4.0,7K7A,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,4.0,30.0,7WSO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,4.0,23.0,7XT6,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.2,4.0,35.0,7XQ8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
3.7,0.0,81.0,2YH6,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.2,24.0,0.0,6MWA,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
3.7,0.0,81.0,2LAF,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.6,24.0,0.0,6MVV,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,24.0,0.0,6P6X,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,14.0,0.0,3CAP,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,14.0,0.0,4J4Q,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.6,7.0,8.0,4PXF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
3.7,0.0,81.0,3TGO,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.4,7.0,9.0,3DQB,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,14.0,0.0,3PXO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,14.0,0.0,4A4M,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,14.0,0.0,2X72,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.9,2.0,13.0,2JWA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.0,2.0,14.0,2N2A,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,2.0,15.0,2KS1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.4,2.0,1.0,5LV6,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,2.0,16.0,2L9U,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.4,2.0,4.0,2LCX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.8,2.0,5.0,2K1L,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,2.0,12.0,2K9Y,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,2.0,1.0,2LZL,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,2.0,2.0,2M59,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,19.0,0.0,2JK4,cytoplasmic side ,intermembrane space,TRANSMEMBRANE PROTEINS:BETA-BARREL
32.8,7.0,7.0,8E9W,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.6,7.0,6.0,8E9X,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.4,7.0,4.0,8F7W,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
37.8,7.0,6.0,7YIT,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,7.0,6.0,8DZP,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,2.0,6DDE,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,7.0,7SBF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,24.0,0.0,6OT2,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,28.0,0.0,6UW4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,24.0,0.0,7XJ3,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,19.0,5.0,3EMN,cytoplasmic side ,intermembrane space,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.4,27.0,4.0,7TJ8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,24.0,0.0,6VX3,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,18.0,5.0,7KUH,cytoplasmic side ,intermembrane space,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.2,24.0,4.0,4DXW,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.2,8.0,1.0,4F4L,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
19.8,19.0,5.0,5O8O,cytoplasmic side ,intermembrane space,TRANSMEMBRANE PROTEINS:BETA-BARREL
9.7,0.0,89.0,3VV9,mitochondrial matrix,intermembrane space,MONOTOPIC MEMBRANE PROTEINS
29.0,8.0,0.0,3ZJZ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,8.0,0.0,4CBC,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,8.0,0.0,5BZB,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.8,2.0,13.0,2KNC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.2,2.0,17.0,7KN0,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,7.0,13.0,7U2L,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.6,14.0,6.0,8F7Q,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.4,7.0,9.0,5C1M,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
36.6,7.0,8.0,7UL4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,18.0,0.0,2ACZ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,18.0,0.0,2WDQ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,7.0,18.0,6N4B,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,7.0,4.0,6KPG,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,7.0,4.0,8GHV,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.4,7.0,15.0,4RWD,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,7.0,3.0,6PT0,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,1.0,10.0,8AR0,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
8.0,0.0,69.0,4EHW,cytoplasmic side,periplasm,MONOTOPIC MEMBRANE PROTEINS
6.0,0.0,87.0,4QN9,cytoplasmic side,extracellular side,MONOTOPIC MEMBRANE PROTEINS
34.4,7.0,1.0,7YON,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
5.6,0.0,54.0,6IEJ,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
34.2,7.0,11.0,6PT2,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,8.0,8F7X,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,7.0,6.0,6OS9,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,7.0,23.0,6YVR,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.0,7.0,26.0,8FN1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,39.0,6PWC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.4,7.0,3.0,7VGX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,7.0,32.0,6UP7,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
