,bibliography_year,inconsistencies,pdb_code,group (OPM),group (MPstruc),rcsentinfo_experimental_method,protein_codes,experimental_method,inconsistency
38,2009,9,2KOG,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",Nuclear Magnetic Resonance (NMR),1
39,2009,9,2KIH,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",Nuclear Magnetic Resonance (NMR),1
40,2009,9,2KIX,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",Nuclear Magnetic Resonance (NMR),1
41,2010,7,3NSJ,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",X-Ray Crystallography,1
42,2010,7,2KSJ,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",Multiple methods,1
43,2010,7,2KS1,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",Nuclear Magnetic Resonance (NMR),1
44,2010,7,2K9Y,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",Nuclear Magnetic Resonance (NMR),1
45,2010,7,2L35,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",Nuclear Magnetic Resonance (NMR),1
46,2010,7,2L0J,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",Nuclear Magnetic Resonance (NMR),1
47,2010,7,3LBW,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, Multiple methods, NMR, NMR, NMR, NMR, X-ray","['3NSJ', '2KSJ', '2KS1', '2K9Y', '2L35', '2L0J', '3LBW']",X-Ray Crystallography,1
48,2011,10,3ML3,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
49,2011,10,3PRW,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
50,2011,10,3P1L,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
51,2011,10,3Q7M,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
52,2011,10,2YH3,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
53,2011,10,3LIM,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",X-Ray Crystallography,1
54,2011,10,2KPF,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",Nuclear Magnetic Resonance (NMR),1
55,2011,10,2L9U,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",Nuclear Magnetic Resonance (NMR),1
56,2011,10,2LJB,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",Nuclear Magnetic Resonance (NMR),1
57,2011,10,2KYV,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, X-ray, X-ray, NMR, NMR, NMR, Multiple methods","['3ML3', '3PRW', '3P1L', '3Q7M', '2YH3', '3LIM', '2KPF', '2L9U', '2LJB', '2KYV']",Multiple methods,1
58,2012,2,3VMT,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, NMR","['3VMT', '2LCX']",X-Ray Crystallography,1
59,2012,2,2LCX,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR","['3VMT', '2LCX']",Nuclear Magnetic Resonance (NMR),1
60,2013,4,2LZL,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"NMR, NMR, NMR, Multiple methods","['2LZL', '2M8R', '2LY0', '2M3B']",Nuclear Magnetic Resonance (NMR),1
61,2013,4,2M8R,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"NMR, NMR, NMR, Multiple methods","['2LZL', '2M8R', '2LY0', '2M3B']",Nuclear Magnetic Resonance (NMR),1
62,2013,4,2LY0,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"NMR, NMR, NMR, Multiple methods","['2LZL', '2M8R', '2LY0', '2M3B']",Nuclear Magnetic Resonance (NMR),1
63,2013,4,2M3B,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"NMR, NMR, NMR, Multiple methods","['2LZL', '2M8R', '2LY0', '2M3B']",Multiple methods,1
64,2014,5,4LXJ,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, NMR, NMR","['4LXJ', '4HSC', '4CDB', '2MFR', '2M59']",X-Ray Crystallography,1
65,2014,5,4HSC,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, NMR, NMR","['4LXJ', '4HSC', '4CDB', '2MFR', '2M59']",X-Ray Crystallography,1
66,2014,5,4CDB,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR","['4LXJ', '4HSC', '4CDB', '2MFR', '2M59']",X-Ray Crystallography,1
67,2014,5,2MFR,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR","['4LXJ', '4HSC', '4CDB', '2MFR', '2M59']",Nuclear Magnetic Resonance (NMR),1
68,2014,5,2M59,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR","['4LXJ', '4HSC', '4CDB', '2MFR', '2M59']",Nuclear Magnetic Resonance (NMR),1
69,2015,4,4TSY,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray","['4TSY', '5EH4', '4WOL', '4QKC']",X-Ray Crystallography,1
70,2015,4,5EH4,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray","['4TSY', '5EH4', '4WOL', '4QKC']",X-Ray Crystallography,1
71,2015,4,4WOL,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray","['4TSY', '5EH4', '4WOL', '4QKC']",X-Ray Crystallography,1
72,2015,4,4QKC,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray","['4TSY', '5EH4', '4WOL', '4QKC']",X-Ray Crystallography,1
73,2016,6,5B49,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",X-Ray Crystallography,1
74,2016,6,5IMW,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",X-Ray Crystallography,1
75,2016,6,5IMY,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",X-Ray Crystallography,1
76,2016,6,2MIC,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",Nuclear Magnetic Resonance (NMR),1
77,2016,6,2N2A,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",Nuclear Magnetic Resonance (NMR),1
78,2016,6,5HK1,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR, NMR, X-ray","['5B49', '5IMW', '5IMY', '2MIC', '2N2A', '5HK1']",X-Ray Crystallography,1
79,2017,4,5LY6,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, X-ray, NMR, X-ray","['5LY6', '5NUO', '5LV6', '5JOO']",Cryo-Electron Microscopy (EM),1
80,2017,4,5NUO,TRANSMEMBRANE PROTEINS:BETA-BARREL,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, X-ray, NMR, X-ray","['5LY6', '5NUO', '5LV6', '5JOO']",X-Ray Crystallography,1
81,2017,4,5LV6,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, X-ray, NMR, X-ray","['5LY6', '5NUO', '5LV6', '5JOO']",Nuclear Magnetic Resonance (NMR),1
82,2017,4,5JOO,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, X-ray, NMR, X-ray","['5LY6', '5NUO', '5LV6', '5JOO']",X-Ray Crystallography,1
83,2018,8,6BFG,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",X-Ray Crystallography,1
84,2018,8,6MLU,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,MONOTOPIC MEMBRANE PROTEINS,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
85,2018,8,6DLW,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
86,2018,8,6H03,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
87,2018,8,6F2D,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
88,2018,8,6HJR,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
89,2018,8,6E10,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",Cryo-Electron Microscopy (EM),1
90,2018,8,6BKK,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, EM, EM, EM, EM, EM, EM, X-ray","['6BFG', '6MLU', '6DLW', '6H03', '6F2D', '6HJR', '6E10', '6BKK']",X-Ray Crystallography,1
91,2019,4,6NYF,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, X-ray","['6NYF', '6JXR', '6MTI', '6MJH']",Cryo-Electron Microscopy (EM),1
92,2019,4,6JXR,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, X-ray","['6NYF', '6JXR', '6MTI', '6MJH']",Cryo-Electron Microscopy (EM),1
93,2019,4,6MTI,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, X-ray","['6NYF', '6JXR', '6MTI', '6MJH']",Cryo-Electron Microscopy (EM),1
94,2019,4,6MJH,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, X-ray","['6NYF', '6JXR', '6MTI', '6MJH']",X-Ray Crystallography,1
95,2020,7,6S3S,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",Cryo-Electron Microscopy (EM),1
96,2020,7,6S3R,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",Cryo-Electron Microscopy (EM),1
97,2020,7,7K7A,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",Nuclear Magnetic Resonance (NMR),1
98,2020,7,7BV6,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",X-Ray Crystallography,1
99,2020,7,6NV1,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",X-Ray Crystallography,1
